cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0.052777777,0,0
13,0.466666652,0,0
14,1.508333286,0,0
15,2.741666635,0,0
16,3.652777672,0,0
17,4.702777863,0,0
18,6.033333143,0,0
19,7.225000064,0,0
20,7.647222413,0,0
21,7.799999979,0,0
22,7.850000064,0,0
23,7.872222265,0,0
24,7.941666709,0,0
25,8.272222413,0,0
26,8.44722218,0,0
27,8.802777926,0,0
28,9.916666879,0,0
29,10.86944474,0,0
30,11.48333338,0,0
31,11.81666692,0,0
32,12.0166662,0,0
33,12.18611081,0,0
34,12.3249997,0,0
35,12.37222248,0,0
36,12.27222231,0,0
37,11.85277727,0,0
38,11.08888838,0,0
39,10.26944478,0,0
40,9.605556064,0,0
41,8.958333333,0,0
42,8.049999873,0,0
43,6.969444487,0,0
44,6.161111196,0,0
45,5.808333291,0,0
46,5.661110878,0,0
47,5.419444508,0,0
48,5.111111005,0,0
49,4.955555598,0,0
50,4.93888908,0,0
51,4.833333227,0,0
52,4.35416672,0,0
53,3.644444413,0,0
54,3.347222275,0,0
55,2.96388891,0,0
56,2.777777778,0,0
57,2.777777778,0,0
58,2.872222265,0,0
59,2.95277781,0,0
60,3.524999883,0,0
61,3.691666656,0,0
62,3.872222106,0,0
63,3.952777651,0,0
64,4.20277781,0,0
65,4.383333259,0,0
66,4.463888804,0,0
67,5.10000017,0,0
68,5.625,0,0
69,6.436111132,0,0
70,7.352777587,0,0
71,8.272222413,0,0
72,9.044444826,0,0
73,9.555555979,0,0
74,9.863888423,0,0
75,10.11388885,0,0
76,10.39722231,0,0
77,10.70000013,0,0
78,10.90833346,0,0
79,10.96944491,0,0
80,10.8444447,0,0
81,10.68055577,0,0
82,10.35833359,0,0
83,10.2638891,0,0
84,10.18333329,0,0
85,9.963888592,0,0
86,9.802778032,0,0
87,9.619444741,0,0
88,9.494444529,0,0
89,8.861111005,0,0
90,7.58055581,0,0
91,6.105555428,0,0
92,4.719444381,0,0
93,3.947222233,0,0
94,3.327777651,0,0
95,2.513888942,0,0
96,1.608333323,0,0
97,0.997222198,0,0
98,0.597222249,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0.044357619,0,0
139,0.538194411,0,0
140,1.693815125,0,0
141,3.245507611,0,0
142,4.545052316,0,0
143,5.245800548,0,0
144,5.515950521,0,0
145,5.778309504,0,0
146,6.334635417,0,0
147,7.061664793,0,0
148,7.701410717,0,0
149,8.123687108,0,0
150,8.286805153,0,0
151,8.175781038,0,0
152,7.567361196,0,0
153,6.289582782,0,0
154,4.814582931,0,0
155,3.486697144,0,0
156,3.119965394,0,0
157,3.291753398,0,0
158,3.920095762,0,0
159,4.788498349,0,0
160,5.570898586,0,0
161,6.502777735,0,0
162,7.072221968,0,0
163,7.669444614,0,0
164,8.202777969,0,0
165,8.638888995,0,0
166,8.922221926,0,0
167,9.227778117,0,0
168,9.783333672,0,0
169,10.34166654,0,0
170,10.54444419,0,0
171,10.38611094,0,0
172,9.744444953,0,0
173,8.605555428,0,0
174,7.536110878,0,0
175,7.033333249,0,0
176,6.966666645,0,0
177,7.200000021,0,0
178,7.711111175,0,0
179,8.111111323,0,0
180,8.219444487,0,0
181,8.202777969,0,0
182,8.111111323,0,0
183,7.847222222,0,0
184,7.261110942,0,0
185,6.280555725,0,0
186,5.038888719,0,0
187,4.669444561,0,0
188,3.991666635,0,0
189,3.836111228,0,0
190,3.436111079,0,0
191,3.09444454,0,0
192,3.030555513,0,0
193,2.861111164,0,0
194,2.777777778,0,0
195,2.777777778,0,0
196,2.777777778,0,0
197,2.777777778,0,0
198,2.777777778,0,0
199,2.916666667,0,0
200,3.055555556,0,0
201,3.333333333,0,0
202,3.611111111,0,0
203,4.033333249,0,0
204,4.711111122,0,0
205,5.344444381,0,0
206,6.059722106,0,0
207,6.927777926,0,0
208,7.677777608,0,0
209,8.877777523,0,0
210,9.767778185,0,0
211,10.40666686,0,0
212,10.90111097,0,0
213,11.24833319,0,0
214,11.54555533,0,0
215,11.98444472,0,0
216,12.5,0,0
217,13.08222241,0,0
218,13.61555523,0,0
219,14.06444444,0,0
220,14.4022221,0,0
221,14.63555548,0,0
222,14.75083351,0,0
223,14.85361099,0,0
224,14.95222198,0,0
225,15.06888919,0,0
226,15.21055539,0,0
227,15.36194483,0,0
228,15.50638941,0,0
229,15.62444475,0,0
230,15.6897227,0,0
231,15.7049995,0,0
232,15.61333338,0,0
233,15.26333385,0,0
234,14.70499992,0,0
235,14.1758336,0,0
236,13.83833355,0,0
237,13.66333326,0,0
238,13.45499992,0,0
239,13.02166621,0,0
240,12.30916659,0,0
241,11.52166684,0,0
242,10.96333292,0,0
243,10.26944478,0,0
244,9.605556064,0,0
245,8.958333333,0,0
246,8.049999873,0,0
247,6.969444487,0,0
248,6.161111196,0,0
249,5.808333291,0,0
250,5.661110878,0,0
251,5.419444508,0,0
252,5.111111005,0,0
253,4.955555598,0,0
254,4.93888908,0,0
255,4.833333227,0,0
256,4.35416672,0,0
257,4.036111037,0,0
258,4.266666571,0,0
259,4.944444233,0,0
260,5.858333376,0,0
261,6.702777545,0,0
262,7.611111005,0,0
263,8.441666497,0,0
264,9.752777947,0,0
265,11.02777799,0,0
266,12.28611098,0,0
267,12.34166675,0,0
268,12.48333295,0,0
269,12.63055589,0,0
270,12.75277774,0,0
271,12.77777778,0,0
272,12.65833325,0,0
273,12.59444449,0,0
274,12.13333342,0,0
275,11.3388888,0,0
276,10.56666692,0,0
277,9.563888974,0,0
278,8.594444593,0,0
279,7.074999809,0,0
280,5.808333291,0,0
281,5.602777799,0,0
282,5.625,0,0
283,7.300000191,0,0
284,8.213888804,0,0
285,9.797222349,0,0
286,10.91944483,0,0
287,12.0944447,0,0
288,13.20277744,0,0
289,14.13055526,0,0
290,14.10555522,0,0
291,13.96388902,0,0
292,13.67222256,0,0
293,13.35555606,0,0
294,13.12777731,0,0
295,13.00833384,0,0
296,12.98055543,0,0
297,13.01111115,0,0
298,13.0805556,0,0
299,13.13333299,0,0
300,13.14166705,0,0
301,13.08611128,0,0
302,12.94166671,0,0
303,12.73055606,0,0
304,12.44166692,0,0
305,12.03055594,0,0
306,11.60833359,0,0
307,11.33333312,0,0
308,11.20833291,0,0
309,11.13333384,0,0
310,11.03333367,0,0
311,10.88055505,0,0
312,10.68055577,0,0
313,10.39444394,0,0
314,9.991667006,0,0
315,9.552777608,0,0
316,9.177778032,0,0
317,8.800000085,0,0
318,8.319444656,0,0
319,7.788889143,0,0
320,7.261110942,0,0
321,7.111111217,0,0
322,6.913888719,0,0
323,6.913888719,0,0
324,6.747222477,0,0
325,6.644444466,0,0
326,6.6333331,0,0
327,6.558333503,0,0
328,6.458333333,0,0
329,5.680555767,0,0
330,4.85833327,0,0
331,4.691666497,0,0
332,4.630555577,0,0
333,4.425000085,0,0
334,4.324999915,0,0
335,4.158333408,0,0
336,4.024999936,0,0
337,3.977777693,0,0
338,4.036111037,0,0
339,4.266666571,0,0
340,4.944444233,0,0
341,5.858333376,0,0
342,6.702777545,0,0
343,6.958333121,0,0
344,7.025000254,0,0
345,7.077777651,0,0
346,7.333333227,0,0
347,7.391666836,0,0
348,7.530555725,0,0
349,7.694444656,0,0
350,7.808333503,0,0
351,7.84166654,0,0
352,7.819444338,0,0
353,7.772222095,0,0
354,7.747222053,0,0
355,7.758333418,0,0
356,7.794444296,0,0
357,7.830555704,0,0
358,7.766666412,0,0
359,7.461111281,0,0
360,6.947222286,0,0
361,6.444444656,0,0
362,6.080555386,0,0
363,5.858333376,0,0
364,5.761111048,0,0
365,5.744444529,0,0
366,5.769444572,0,0
367,5.877777735,0,0
368,6.147221989,0,0
369,6.513889101,0,0
370,6.752777629,0,0
371,6.808333397,0,0
372,6.605555746,0,0
373,5.922222137,0,0
374,4.924999873,0,0
375,4.002777735,0,0
376,3.311111132,0,0
377,2.825000021,0,0
378,2.477777799,0,0
379,2.227777905,0,0
380,1.999999947,0,0
381,1.70277781,0,0
382,1.363888847,0,0
383,1.027777791,0,0
384,0.644444426,0,0
385,0.25555556,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0,0,0
391,0,0,0
392,0.150000006,0,0
393,0.583333307,0,0
394,1.327777836,0,0
395,2.294444508,0,0
396,3.402777778,0,0
397,4.602777693,0,0
398,5.808333291,0,0
399,6.722222434,0,0
400,7.099999852,0,0
401,7.124999894,0,0
402,6.913888719,0,0
403,6.469444699,0,0
404,6.005555789,0,0
405,5.611111323,0,0
406,5.199999809,0,0
407,4.730555746,0,0
408,4.255555471,0,0
409,3.950000074,0,0
410,3.866666688,0,0
411,3.886111048,0,0
412,3.944444391,0,0
413,4.022222095,0,0
414,4.138888783,0,0
415,4.402777884,0,0
416,4.830555386,0,0
417,5.197221968,0,0
418,5.316666497,0,0
419,5.208333333,0,0
420,4.902777672,0,0
421,4.611111217,0,0
422,4.508333206,0,0
423,4.544444614,0,0
424,4.766666624,0,0
425,5.308333503,0,0
426,6.280555725,0,0
427,7.613888847,0,0
428,8.772222201,0,0
429,9.286111196,0,0
430,9.31388855,0,0
431,9.116666582,0,0
432,8.85000017,0,0
433,8.68888908,0,0
434,8.630555471,0,0
435,8.500000106,0,0
436,8.119444317,0,0
437,7.416666879,0,0
438,6.388888889,0,0
439,5.055555767,0,0
440,3.580555651,0,0
441,2.127777735,0,0
442,1.044444442,0,0
443,0.369444456,0,0
444,0.055555556,0,0
445,0,0,0
446,0,0,0
447,0,0,0
448,0,0,0
449,0,0,0
450,0,0,0
451,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,0,0,0
478,0,0,0
479,0,0,0
480,0,0,0
481,0,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0,0,0
489,0,0,0
490,0,0,0
491,0,0,0
492,0,0,0
493,0,0,0
494,0,0,0
495,0,0,0
496,0,0,0
497,0,0,0
498,0,0,0
499,0,0,0
500,0,0,0
501,0,0,0
502,0,0,0
503,0,0,0
504,0,0,0
505,0,0,0
506,0,0,0
507,0,0,0
508,0,0,0
509,0,0,0
510,0,0,0
511,0,0,0
512,0.13398437,0,0
513,0.686772996,0,0
514,1.819520394,0,0
515,3.273014228,0,0
516,4.677875837,0,0
517,5.680620935,0,0
518,6.081727876,0,0
519,6.088118553,0,0
520,5.905555619,0,0
521,5.625944138,0,0
522,5.341721111,0,0
523,4.957888391,0,0
524,4.307378663,0,0
525,3.311696847,0,0
526,2.118370268,0,0
527,1.123101181,0,0
528,0.558463534,0,0
529,0.287966563,0,0
530,0,0,0
531,0,0,0
532,0,0,0
533,0.050000002,0,0
534,0.324999988,0,0
535,0.880555577,0,0
536,1.441666683,0,0
537,2.286110984,0,0
538,3.605555428,0,0
539,5.233333376,0,0
540,6.408333249,0,0
541,6.802777714,0,0
542,6.819444233,0,0
543,6.738888952,0,0
544,6.555555662,0,0
545,6.18888908,0,0
546,5.577777757,0,0
547,4.949999915,0,0
548,4.902777672,0,0
549,4.494444529,0,0
550,4.216666751,0,0
551,4.116666582,0,0
552,3.938888974,0,0
553,3.838888804,0,0
554,3.661111196,0,0
555,3.611111111,0,0
556,3.611111111,0,0
557,3.661111196,0,0
558,3.838888804,0,0
559,4.03333346,0,0
560,4.577777651,0,0
561,4.722222222,0,0
562,4.722222222,0,0
563,4.722222222,0,0
564,4.283333355,0,0
565,2.808333238,0,0
566,1.333333386,0,0
567,0,0,0
568,0,0,0
569,0,0,0
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
583,0,0,0
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,0,0,0
591,0,0,0
592,0,0,0
593,0,0,0
594,0,0,0
595,0,0,0
596,0,0,0
597,0,0,0
598,0,0,0
599,0,0,0
600,0,0,0
601,0.28042535,0,0
602,0.580121477,0,0
603,1.331347757,0,0
604,2.514659299,0,0
605,3.948752085,0,0
606,5.512456894,0,0
607,7.080153889,0,0
608,8.470181889,0,0
609,9.654026031,0,0
610,10.76737192,0,0
611,11.90439542,0,0
612,12.88332303,0,0
613,13.40872447,0,0
614,13.5180876,0,0
615,13.48373519,0,0
616,13.44511668,0,0
617,13.39817683,0,0
618,13.29051654,0,0
619,13.06412803,0,0
620,12.75066164,0,0
621,12.47811317,0,0
622,12.33886613,0,0
623,12.30690002,0,0
624,12.36058977,0,0
625,12.52354622,0,0
626,12.70054287,0,0
627,12.78389719,0,0
628,12.78971354,0,0
629,12.76662297,0,0
630,12.79570262,0,0
631,12.95885404,0,0
632,13.24740728,0,0
633,13.5970158,0,0
634,13.96652646,0,0
635,14.33778233,0,0
636,14.61780548,0,0
637,14.72222222,0,0
638,14.72645442,0,0
639,14.69867706,0,0
640,14.63617643,0,0
641,14.60700989,0,0
642,14.75701014,0,0
643,15.07222176,0,0
644,15.32222218,0,0
645,15.42777803,0,0
646,15.51666684,0,0
647,15.63333299,0,0
648,15.74166616,0,0
649,15.79444461,0,0
650,15.77500025,0,0
651,15.55277824,0,0
652,15.05833308,0,0
653,14.48333316,0,0
654,13.90555594,0,0
655,13.10555564,0,0
656,12.00000021,0,0
657,10.90000047,0,0
658,10.13611158,0,0
659,9.533333249,0,0
660,8.611111111,0,0
661,7.227777905,0,0
662,5.752777523,0,0
663,4.277777672,0,0
664,3.080555598,0,0
665,2.777777778,0,0
666,2.916666667,0,0
667,3.179999987,0,0
668,3.803333441,0,0
669,5.50333341,0,0
670,6.763333215,0,0
671,7.593333456,0,0
672,8.28666687,0,0
673,9.143333435,0,0
674,10.12666702,0,0
675,10.8183331,0,0
676,11.18499968,0,0
677,11.25722249,0,0
678,10.82388878,0,0
679,9.907222324,0,0
680,8.840555615,0,0
681,7.54055553,0,0
682,6.323889097,0,0
683,5.873888863,0,0
684,5.254444546,0,0
685,5.243888961,0,0
686,5.923888948,0,0
687,6.643888685,0,0
688,7.204999924,0,0
689,7.885555691,0,0
690,8.404999839,0,0
691,8.580555386,0,0
692,8.64944458,0,0
693,8.829444249,0,0
694,9.087222417,0,0
695,9.228888618,0,0
696,8.989999559,0,0
697,7.867777612,0,0
698,7.172222137,0,0
699,6.419444614,0,0
700,6.050000191,0,0
701,5.891666412,0,0
702,5.838889016,0,0
703,5.836111175,0,0
704,5.802777608,0,0
705,5.530555513,0,0
706,4.98055564,0,0
707,4.20277781,0,0
708,3.541666667,0,0
709,3.319444391,0,0
710,3.669444455,0,0
711,4.763888783,0,0
712,5.852777693,0,0
713,6.050000191,0,0
714,5.876666705,0,0
715,5.136388673,0,0
716,3.861666785,0,0
717,3.099166552,0,0
718,2.777777778,0,0
719,3.044722345,0,0
720,3.975277742,0,0
721,5.128333304,0,0
722,5.732499758,0,0
723,6.26027796,0,0
724,6.669999758,0,0
725,7.392222087,0,0
726,8.307778041,0,0
727,9.654444589,0,0
728,10.51277796,0,0
729,11.17388937,0,0
730,11.55444463,0,0
731,11.62944476,0,0
732,11.66972266,0,0
733,11.72250006,0,0
734,11.77944395,0,0
735,11.85027758,0,0
736,11.9711113,0,0
737,12.13777754,0,0
738,12.23138915,0,0
739,12.24444495,0,0
740,12.57222176,0,0
741,12.89999962,0,0
742,13.09722265,0,0
743,13.15277735,0,0
744,13.16111141,0,0
745,13.17222171,0,0
746,13.20555581,0,0
747,13.30277761,0,0
748,13.50277795,0,0
749,13.72222265,0,0
750,13.81944444,0,0
751,13.83333312,0,0
752,13.8027774,0,0
753,13.68055556,0,0
754,13.46388923,0,0
755,13.2138888,0,0
756,12.85833359,0,0
757,12.13055505,0,0
758,10.91388914,0,0
759,9.469444487,0,0
760,8.066666921,0,0
761,6.59166654,0,0
762,5.116666688,0,0
763,3.641666571,0,0
764,3.011111153,0,0
765,3.311111132,0,0
766,4.211111069,0,0
767,5.316666497,0,0
768,6.208333439,0,0
769,7.108333376,0,0
770,8.369444211,0,0
771,9.802778032,0,0
772,11.09444406,0,0
773,12.34722243,0,0
774,13.18888876,0,0
775,14.14166662,0,0
776,15.01666705,0,0
777,15.63333299,0,0
778,16.13333384,0,0
779,16.60555522,0,0
780,16.96944449,0,0
781,17.24722226,0,0
782,17.45833291,0,0
783,17.57777744,0,0
784,17.65555594,0,0
785,17.78888914,0,0
786,17.97222137,0,0
787,18.10000102,0,0
788,18.14166599,0,0
789,18.14999898,0,0
790,18.17222171,0,0
791,18.24444453,0,0
792,18.32777871,0,0
793,18.21111043,0,0
794,17.6416662,0,0
795,16.58611086,0,0
796,15.16111162,0,0
797,13.68611124,0,0
798,12.46111128,0,0
799,11.76111115,0,0
800,11.50833342,0,0
801,11.4694447,0,0
802,11.6888894,0,0
803,12.41388851,0,0
804,13.4416665,0,0
805,14.27222252,0,0
806,14.65000047,0,0
807,14.71111086,0,0
808,14.57361115,0,0
809,14.24027761,0,0
810,13.7944444,0,0
811,13.1652779,0,0
812,12.13611073,0,0
813,11.03277736,0,0
814,9.8594443,0,0
815,8.64944458,0,0
816,7.316110929,0,0
817,6.06944455,0,0
818,4.994444317,0,0
819,4.729444186,0,0
820,5.004444652,0,0
821,6.004444228,0,0
822,7.343333562,0,0
823,8.360000186,0,0
824,9.29444419,0,0
825,9.461111493,0,0
826,9.730555216,0,0
827,10.20000034,0,0
828,10.80555598,0,0
829,11.48888906,0,0
830,12.22499953,0,0
831,12.8611109,0,0
832,13.23888885,0,0
833,13.40000047,0,0
834,13.53333367,0,0
835,13.70277829,0,0
836,13.83611149,0,0
837,13.95000034,0,0
838,14.14444394,0,0
839,14.39444436,0,0
840,14.5944447,0,0
841,14.79999966,0,0
842,15.13055589,0,0
843,15.48055543,0,0
844,15.69722176,0,0
845,15.79166624,0,0
846,15.84166633,0,0
847,15.89444478,0,0
848,16.01944394,0,0
849,16.31388876,0,0
850,16.6999997,0,0
851,16.97500017,0,0
852,17.12777774,0,0
853,17.29444398,0,0
854,17.48333295,0,0
855,17.59166718,0,0
856,17.60000017,0,0
857,17.65000025,0,0
858,17.9055553,0,0
859,18.27777863,0,0
860,18.54444504,0,0
861,18.72777727,0,0
862,19.11666658,0,0
863,19.75555632,0,0
864,20.07888794,0,0
865,20.22333357,0,0
866,20.38722144,0,0
867,20.72888904,0,0
868,21.10666699,0,0
869,21.26500024,0,0
870,21.25166575,0,0
871,21.17500093,0,0
872,21.05833266,0,0
873,20.93499925,0,0
874,20.76833301,0,0
875,20.53916719,0,0
876,20.1891666,0,0
877,19.81833352,0,0
878,19.5683331,0,0
879,19.45583344,0,0
880,19.43083233,0,0
881,19.16055467,0,0
882,18.87777752,0,0
883,18.87777752,0,0
884,18.88055589,0,0
885,18.91388787,0,0
886,18.99444368,0,0
887,19.05555513,0,0
888,19.07222324,0,0
889,19.0333324,0,0
890,18.91111162,0,0
891,18.69722154,0,0
892,18.38333342,0,0
893,18.00833384,0,0
894,17.66388893,0,0
895,17.39999983,0,0
896,17.24166658,0,0
897,17.1833335,0,0
898,17.1833335,0,0
899,17.16944483,0,0
900,17.06944466,0,0
901,16.92222171,0,0
902,16.58611086,0,0
903,15.16111162,0,0
904,13.68611124,0,0
905,12.46111128,0,0
906,11.76111115,0,0
907,11.50833342,0,0
908,11.4694447,0,0
909,11.6888894,0,0
910,12.41388851,0,0
911,13.4416665,0,0
912,14.27222252,0,0
913,14.65000047,0,0
914,14.98888863,0,0
915,15.82222197,0,0
916,16.1416662,0,0
917,16.43888897,0,0
918,16.39444457,0,0
919,16.40555594,0,0
920,16.5138891,0,0
921,16.80555556,0,0
922,17.30277803,0,0
923,17.75833342,0,0
924,18.07499992,0,0
925,17.8083335,0,0
926,17.40833282,0,0
927,17.21111086,0,0
928,17.02777757,0,0
929,16.9194444,0,0
930,16.81944423,0,0
931,16.71111107,0,0
932,16.6027779,0,0
933,16.48997413,0,0
934,16.26542939,0,0
935,15.98271476,0,0
936,15.73534012,0,0
937,15.56729635,0,0
938,15.42987188,0,0
939,15.26496357,0,0
940,15.10655403,0,0
941,15.01611286,0,0
